task,tier,held_out_city,seed,model,params,val_rmse,zero_shot,n,rmse,mae,bias,r2,median_ae
N,retrospective,Dushanbe,1,lgbm_tuned,"(0.03, 31, 20, 0.9)",22.262820070183373,False,343,46.508176815995135,27.915151739518315,-24.835169878596407,-0.3165898743709685,13.727027462101827
N,retrospective,Dushanbe,2,lgbm_tuned,"(0.03, 31, 20, 0.9)",22.262820070183373,False,343,46.57741364625226,27.960214898167248,-24.606992353863664,-0.320512813017402,14.03828748050227
N,retrospective,Dushanbe,3,lgbm_tuned,"(0.03, 31, 20, 0.9)",22.262820070183373,False,343,48.29115951482473,29.58081809204412,-27.06501469776778,-0.41947303720090856,16.47299974273823
N,retrospective,Dushanbe,4,lgbm_tuned,"(0.03, 31, 20, 0.9)",22.262820070183373,False,343,47.08040492976005,28.345892352055596,-25.79746329454768,-0.3491873476410836,14.354609893196233
N,retrospective,Dushanbe,0,cams_debiased_pooled,,,False,343,47.95555989277336,29.4882470017659,-27.643886194130275,-0.39981232348674056,16.60831688765886
N,retrospective,Khujand,0,lgbm_tuned,"(0.03, 31, 20, 0.7)",31.756771923347166,True,592,38.931031466168704,22.278058690276083,-14.834285574558887,0.1219249429853777,9.638145150793967
N,retrospective,Khujand,1,lgbm_tuned,"(0.03, 31, 20, 0.7)",31.756771923347166,True,592,38.855289280405145,22.400391283485963,-14.25683315752529,0.12533829346640868,9.601638425593478
N,retrospective,Khujand,2,lgbm_tuned,"(0.03, 31, 20, 0.7)",31.756771923347166,True,592,38.74828569504523,22.28482823978103,-13.92096382798489,0.13014912199874706,9.989586452396376
N,retrospective,Khujand,3,lgbm_tuned,"(0.03, 31, 20, 0.7)",31.756771923347166,True,592,38.94236606511968,22.348971469488724,-14.51066482585633,0.12141357315635914,9.776652339470093
N,retrospective,Khujand,4,lgbm_tuned,"(0.03, 31, 20, 0.7)",31.756771923347166,True,592,38.6762028773424,22.198751717198018,-14.20609414439342,0.13338245116558956,9.451718397827516
N,retrospective,Khujand,0,cams_debiased_pooled,,,True,592,39.901334913920735,25.301479407311643,-9.719510731085155,0.07760982012146289,15.112980795315
N,retrospective,Tashkent,0,lgbm_tuned,"(0.08, 31, 40, 0.7)",33.577271596659344,False,337,26.643742752395404,15.80921762372312,-8.835564479417048,0.2591329159442042,7.985532197521062
N,retrospective,Tashkent,1,lgbm_tuned,"(0.08, 31, 40, 0.7)",33.577271596659344,False,337,25.444201523458453,15.23706679873831,-7.8267775145659515,0.3243411191488229,7.545659517932759
N,retrospective,Tashkent,2,lgbm_tuned,"(0.08, 31, 40, 0.7)",33.577271596659344,False,337,25.22151984643075,15.48024343062942,-6.320293639890569,0.3361157838814519,7.830656893169822
N,retrospective,Tashkent,3,lgbm_tuned,"(0.08, 31, 40, 0.7)",33.577271596659344,False,337,25.736872091482326,15.577391395811949,-7.555537577842429,0.30870826491235825,7.8280888767213685
N,retrospective,Tashkent,4,lgbm_tuned,"(0.08, 31, 40, 0.7)",33.577271596659344,False,337,25.192907030109726,14.746559338167572,-7.069547078348101,0.3376212302124538,6.845064193203266
N,retrospective,Tashkent,0,cams_debiased_pooled,,,False,337,28.62907610305213,20.147136294571673,-2.914665245697751,0.1446093431876413,14.362674625081027
